TM,BUD,HYMTF,KO,KIMTF,PEP
-1.668760896395682,,,-2.25323279708649,,-1.3592893307922722
3.553095236055796,,,-0.701535482872206,,-0.06344988132227058
-0.8618527740726378,,,0.07929612436076106,,0.3824474141289613
-1.9681654391234744,,,-0.7018901617340063,,-0.8959642170678777
-1.3669002675692923,,,0.2631709935594806,,1.944079051893489
-0.8109427443639063,,,0.41728111284027847,,0.895293138239488
0.9012218465626773,,,0.2744921397175233,,0.14975216706705652
0.8844351779544581,,,-0.3839405968522911,,0.01991375441223653
9.167915694456639,,,-0.7064913381918174,,-2.377169276074355
1.5442232859637173,,,-0.4817925319242118,,0.37174527114451905
-7.092909391893045,-1.5738326889086522,0.3249998092651367,-0.5250075429022161,,-0.13275870150380342
4.875749218626652,-0.9818159759917222,-0.6800003051757812,-0.16173401593433923,,-1.4229046706423603
7.762546191102558,3.2615381910338925,0.75,0.022442338640200177,,-0.7662924465738854
5.5607410608921555,0.34494817605030903,-0.125,0.4651967109478008,0.0,2.0490181323418355
-2.8267046178713713,-0.32701676143919656,-0.9799995422363281,-1.2023337753623977,0.0,-2.03439385703561
6.594631450567576,7.094876467466435,-5.475000381469727,-0.15479710727791485,0.0,1.0067333748066716
-3.8138839328042735,-0.8176704848745402,-0.2349987030029297,0.8713014761432731,0.0,1.579830025313484
-4.594997406005859,0.9495814439633676,-0.20999908447265625,-0.24771474922721382,-4.850000381469727,3.036691452634102
1.3149948120117188,-5.740571694049777,-0.5900001525878906,-1.8147774993746069,0.0,-4.503426849626123
-0.404998779296875,5.29927516692031,-4.600000381469727,-0.353195875694432,0.0,4.269102032669025
-4.939994812011719,-12.985280643898932,-0.38500022888183594,-0.7000156229922325,0.0,-1.4700889107943738
