Year,TM,BUD,HYMTF,KO,KIMTF,PEP
2000,2.5958295999341487,,,-3.819182853865069,,-1.8061825765292454
2001,4.923669149478869,,,-2.780089999377962,,-1.3297342518201916
2002,2.0609555673952755,,,1.1360537715908094,,1.0127284628539925
2003,-3.5170196458977614,,,-0.8572065166109386,,-1.5191108278842904
2004,2.3061891552600287,,,-0.2183032423130058,,3.450902097537842
2005,-2.274486777634337,,,0.3378064334349844,,0.10870643711974282
2006,2.687964706306076,,,0.5034948691550767,,0.755312996535956
2007,-0.948207681197502,,,-0.3581223610369477,,-0.5340085942106825
2008,2.804343247594801,,,-0.5675120791212223,,-1.960651109672277
2009,-2.287131032793269,,,-0.8376005803071376,,-0.7365788388745642
2010,-5.524726147853414,-0.15437860432539452,1.3249998092651367,-0.5250083291261305,,2.665603716952397
2011,2.792338978305395,-0.5898497918189065,-0.11999988555908203,0.0672346738267855,,-1.5411710798305336
2012,10.857011465855521,6.94190493612205,0.75,1.048922042120541,,-0.6157242336190833
2013,6.870460534255585,5.701530898501915,1.2749996185302734,1.8300212567755523,0.0,5.366774638634176
2014,-6.283593204616608,2.338150515390339,-0.4050006866455078,-0.8186997046207765,0.0,-0.400417462686562
2015,12.112901708022036,7.271720052364742,-6.055000305175781,-0.8269415625466792,0.0,-0.16640773527642239
2016,-7.743775610873229,-0.4523394089800803,3.239999771118164,2.542342765801557,0.0,3.37800065403745
2017,-6.534996032714844,3.402279126761826,2.615001678466797,0.651884894650621,-9.700000762939453,6.408336878313008
2018,-5.070003509521484,-2.078158466856266,-5.635000228881836,-2.973716837080424,0.0,-8.630804184826047
2019,-0.9200019836425781,11.009528419894735,-3.744999885559082,-1.6684110251176492,0.0,9.2429414897031
2020,-20.134990692138672,-33.35959620504618,-9.25,-8.582430334732564,0.0,-16.6142977610604
